source,target
<ATTRS> ไม่ชอบ <CONT_START> บอกเองเลยที่บ้านกินบาบีก้อน <START>,<ATTRS> ไม่ชอบ <CONT_START> บอกเองเลยที่บ้านกินบาบีก้อน <START> บอกเองเลยที่บ้านไม่ชอบกินบาบีก้อน
<ATTRS> โกง <CONT_START> บ่อแม่นblend285แต่เป็นเขา285 <START>,<ATTRS> โกง <CONT_START> บ่อแม่นblend285แต่เป็นเขา285 <START> บ่อแม่นblend285แต่เป็นโกงเขา285
<ATTRS> ไอ้สัส <CONT_START> บุหรี่ไฟฟ้านะโว้ยมิใช่บ้า <START>,<ATTRS> ไอ้สัส <CONT_START> บุหรี่ไฟฟ้านะโว้ยมิใช่บ้า <START> บุหรี่ไฟฟ้านะโว้ยมิใช่บ้าไอ้สัส
<ATTRS> แพง <CONT_START> เบียร์ช้าง3ขวด360นี่ก็เกิ้น <START>,<ATTRS> แพง <CONT_START> เบียร์ช้าง3ขวด360นี่ก็เกิ้น <START> เบียร์ช้าง3ขวด360นี่ก็แพงเกิ้น
<ATTRS>  <CONT_START> เบียร์ช้างขายขวดละ115บาทคืออะไร <START>,<ATTRS>  <CONT_START> เบียร์ช้างขายขวดละ115บาทคืออะไร <START> เบียร์ช้างขายขวดละ115บาทคืออะไร
<ATTRS> แพ้ <CONT_START> เบียร์ลาวแช่เย็นไฮเนเก้นสิง <START>,<ATTRS> แพ้ <CONT_START> เบียร์ลาวแช่เย็นไฮเนเก้นสิง <START> เบียร์ลาวแช่เย็นไฮเนเก้นสิงแพ้
<ATTRS> มัย ไม่ กุ้ง <CONT_START> แปลกจังทำเหมือนที่มั่น <START>,<ATTRS> มัย ไม่ กุ้ง <CONT_START> แปลกจังทำเหมือนที่มั่น <START> แปลกจังทำมัยไม่กุ้งเหมือนที่มั่น
<ATTRS> แพงกว่า <CONT_START> fortunerในในเอเวอร์อีก <START>,<ATTRS> แพงกว่า <CONT_START> fortunerในในเอเวอร์อีก <START> แพงกว่าfortunerในในเอเวอร์อีก
<ATTRS> ฟ้อง บริษัทไม่ใช้ <CONT_START> มาสด้าเค้าด้วยเหรอ <START>,<ATTRS> ฟ้อง บริษัทไม่ใช้ <CONT_START> มาสด้าเค้าด้วยเหรอ <START> มาสด้าเค้าฟ้องบริษัทด้วยไม่ใช้เหรอ
<ATTRS> เสียงกระตุก <CONT_START> เมท10โปรเบาภาพ5 <START>,<ATTRS> เสียงกระตุก <CONT_START> เมท10โปรเบาภาพ5 <START> เมท10โปรเสียงเบาภาพกระตุก5
<ATTRS> ไม่ค่อย <CONT_START> เลยสู้ไก่กรอบแบบเก่ามิได้ <START>,<ATTRS> ไม่ค่อย <CONT_START> เลยสู้ไก่กรอบแบบเก่ามิได้ <START> ไม่ค่อยเลยสู้ไก่กรอบแบบเก่ามิได้
<ATTRS> มี พยาธิ <CONT_START> ไม่ว่าบาบิก้อนตัวตึด🤮🤮🤮 <START>,<ATTRS> มี พยาธิ <CONT_START> ไม่ว่าบาบิก้อนตัวตึด🤮🤮🤮 <START> ไม่ว่าบาบิก้อนมีพยาธิตัวตึด🤮🤮🤮
<ATTRS> แพ้ <CONT_START> รัฐกลัวคงแก่กล้าทำประชาวิจารนใน <START>,<ATTRS> แพ้ <CONT_START> รัฐกลัวคงแก่กล้าทำประชาวิจารนใน <START> รัฐกลัวแพ้คงแก่กล้าทำประชาวิจารนใน
